county,municipality,0-17,of_which_unaccompanied_minors,18-19,of_which_unaccompanied_minors.1,20-64,of_which_unaccompanied_minors.2,>64,of_which_unaccompanied_minors.3,total,of_which_unaccompanied_minors.4
,BENGTSFORS,64.0,3.0,4.0,0.0,95.0,0.0,1.0,0.0,164.0,3.0
,BOLLEBYGD,9.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0,2.0
,BORÅS,274.0,19.0,16.0,2.0,293.0,1.0,6.0,0.0,589.0,22.0
,DALS-ED,15.0,3.0,4.0,0.0,22.0,0.0,1.0,0.0,42.0,3.0
,ESSUNGA,15.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,30.0,1.0
,FALKÖPING,140.0,13.0,10.0,2.0,156.0,1.0,4.0,0.0,310.0,16.0
,FÄRGELANDA,25.0,6.0,4.0,3.0,29.0,1.0,0.0,0.0,58.0,10.0
,GRÄSTORP,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,28.0,0.0
,GULLSPÅNG,26.0,10.0,5.0,0.0,43.0,0.0,0.0,0.0,74.0,10.0
,GÖTEBORG,837.0,160.0,87.0,29.0,1154.0,14.0,41.0,0.0,2119.0,203.0
,GÖTENE,32.0,5.0,3.0,2.0,30.0,1.0,0.0,0.0,65.0,8.0
,HERRLJUNGA,26.0,3.0,2.0,1.0,14.0,1.0,0.0,0.0,42.0,5.0
,HJO,35.0,5.0,2.0,0.0,33.0,0.0,0.0,0.0,70.0,5.0
,HÄRRYDA,9.0,2.0,1.0,0.0,15.0,1.0,0.0,0.0,25.0,3.0
,KARLSBORG,21.0,6.0,1.0,1.0,31.0,0.0,0.0,0.0,53.0,7.0
,KUNGÄLV,19.0,5.0,3.0,1.0,18.0,0.0,0.0,0.0,40.0,6.0
,LERUM,18.0,11.0,2.0,1.0,13.0,0.0,2.0,0.0,35.0,12.0
,LIDKÖPING,30.0,6.0,3.0,2.0,45.0,0.0,3.0,0.0,81.0,8.0
,LILLA EDET,7.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,20.0,2.0
,LYSEKIL,77.0,4.0,6.0,1.0,87.0,1.0,0.0,0.0,170.0,6.0
,MARIESTAD,53.0,7.0,2.0,0.0,45.0,1.0,0.0,0.0,100.0,8.0
,MARK,39.0,13.0,6.0,2.0,54.0,0.0,2.0,0.0,101.0,15.0
,MELLERUD,116.0,7.0,5.0,0.0,107.0,0.0,0.0,0.0,228.0,7.0
,MUNKEDAL,39.0,5.0,2.0,0.0,45.0,0.0,0.0,0.0,86.0,5.0
,MÖLNDAL,59.0,29.0,10.0,7.0,35.0,0.0,6.0,0.0,110.0,36.0
,ORUST,15.0,4.0,1.0,0.0,14.0,0.0,0.0,0.0,30.0,4.0
,PARTILLE,35.0,12.0,2.0,0.0,31.0,0.0,0.0,0.0,68.0,12.0
